Feature,Coef
male:i7,4523.711088981169
(Intercept),3475.7874529317924
i7:a5,3134.0658629153877
male:a4,1608.7975431631903
tfa_he,0.7574478600825522
ira:i3,0.17500315350307546
hmort:a5,0.11034389556880629
inc:pira,0.1084913811485018
hval:pira,0.04377403079635569
inc:a5,0.03060964500338606
tfa,0.025727449338092918
net_tfa:i6,0.023629852442584188
net_n401:i6,0.021464520683790525
tfa_he:a4,0.020890711130608797
tfa_he:dum91,0.020708059787368907
tfa:pira,0.010969775472653685
tfa:age,0.0036829009917630157
tfa:marr,0.00366914300668487
hval:male,0.0030409690696950728
age:inc,0.0019747052658562973
hval:age,0.0015156852116054995
hequity:age,0.001333912447983466
tfa:educ,2.1310385088075247e-6
hequity:inc,9.154607537021433e-7
hval:hequity,1.995754800135606e-7
hmort:nifa,1.16261286619346e-8
